host_time_s,sequence,uptime_us,dt_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,flags,checksum_ok,lost_total
783045.882353,54940,,1000,-913,419,79,-1.125,-2.688,-5.125,0,1,0
783045.882353,54941,,1000,-913,417,78,0.562,-0.188,-5.688,0,1,0
783045.882353,54942,,1000,-913,412,80,1.125,-0.562,0.375,0,1,0
783045.882353,54943,,1000,-917,419,79,0.062,1.062,2.000,0,1,0
783045.882353,54944,,1000,-910,415,84,-0.438,-1.312,-2.000,0,1,0
783045.882353,54945,,1000,-913,413,77,0.688,-0.875,0.500,0,1,0
783045.882353,54946,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.882353,54947,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.882353,54948,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.882353,54949,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.890629,54950,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.890629,54951,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.890629,54952,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.890629,54953,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.890629,54954,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.890629,54955,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.890629,54956,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.890629,54957,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.890629,54958,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.890629,54959,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.896441,54960,,1000,-915,416,79,0.562,-0.375,-1.375,0,1,0
783045.896441,54961,,1000,-912,415,81,0.438,-0.812,-2.312,0,1,0
783045.896441,54962,,1000,-912,415,81,0.438,-0.812,-2.312,0,1,0
783045.896441,54963,,1000,-912,415,81,0.438,-0.812,-2.312,0,1,0
783045.896441,54964,,1000,-912,415,81,0.438,-0.812,-2.312,0,1,0
783045.896441,54965,,1000,-912,415,80,0.375,-0.375,-0.688,0,1,0
783045.896441,54966,,1000,-912,415,80,0.375,-0.375,-0.688,0,1,0
783045.896441,54967,,1000,-912,415,80,0.375,-0.375,-0.688,0,1,0
783045.896441,54968,,1000,-913,410,80,0.000,-0.875,-1.812,0,1,0
783045.896441,54969,,1000,-912,417,84,0.938,0.188,-1.750,0,1,0
783045.905059,54970,,1000,-913,420,77,0.188,-0.812,-1.562,0,1,0
783045.905059,54971,,1000,-913,422,76,0.625,-2.125,-3.438,0,1,0
783045.905059,54972,,1000,-914,417,80,1.375,1.125,-1.312,0,1,0
783045.905059,54973,,1000,-914,418,80,-0.625,-0.562,-0.500,0,1,0
783045.905059,54974,,1000,-913,414,84,2.250,-0.188,-4.688,0,1,0
783045.905059,54975,,1000,-912,419,80,0.312,-0.250,-4.125,0,1,0
783045.905059,54976,,1000,-914,414,76,1.250,-0.812,-4.062,0,1,0
783045.905059,54977,,1000,-923,412,77,1.312,5.000,9.188,0,1,0
783045.905059,54978,,1000,-915,420,78,-0.188,-2.875,-5.875,0,1,0
783045.905059,54979,,1000,-910,423,78,-0.562,-3.188,-4.812,0,1,0
