host_time_s,sequence,uptime_us,dt_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,flags,checksum_ok,lost_total
782617.473756,28860,,1000,-916,405,83,0.812,-0.188,-2.812,0,1,0
782617.473756,28861,,1000,-916,402,80,0.188,-0.438,-0.688,0,1,0
782617.473756,28862,,1000,-916,402,80,0.188,-0.438,-0.688,0,1,0
782617.473756,28863,,1000,-916,402,80,0.188,-0.438,-0.688,0,1,0
782617.473756,28864,,1000,-916,402,80,0.188,-0.438,-0.688,0,1,0
782617.473756,28865,,1000,-916,405,79,0.750,-0.625,-0.938,0,1,0
782617.473756,28866,,1000,-916,405,79,0.750,-0.625,-0.938,0,1,0
782617.473756,28867,,1000,-916,405,79,0.750,-0.625,-0.938,0,1,0
782617.473756,28868,,1000,-916,405,79,0.750,-0.625,-0.938,0,1,0
782617.473756,28869,,1000,-916,405,79,0.750,-0.625,-0.938,0,1,0
782617.482672,28870,,1000,-917,402,82,0.562,-0.188,-1.750,0,1,0
782617.482672,28871,,1000,-917,402,82,0.562,-0.188,-1.750,0,1,0
782617.482672,28872,,1000,-917,402,82,0.562,-0.188,-1.750,0,1,0
782617.482672,28873,,1000,-917,402,82,0.562,-0.188,-1.750,0,1,0
782617.482672,28874,,1000,-916,404,80,0.625,-0.062,-0.875,0,1,0
782617.482672,28875,,1000,-916,404,80,0.625,-0.062,-0.875,0,1,0
782617.482672,28876,,1000,-916,404,80,0.625,-0.062,-0.875,0,1,0
782617.482672,28877,,1000,-916,404,80,0.625,-0.062,-0.875,0,1,0
782617.482672,28878,,1000,-916,404,80,0.625,-0.062,-0.875,0,1,0
782617.482672,28879,,1000,-918,404,83,0.750,-0.125,-2.250,0,1,0
782617.488097,28880,,1000,-918,404,83,0.750,-0.125,-2.250,0,1,0
782617.488097,28881,,1000,-918,404,83,0.750,-0.125,-2.250,0,1,0
782617.488097,28882,,1000,-918,404,83,0.750,-0.125,-2.250,0,1,0
782617.488097,28883,,1000,-918,404,83,0.312,-0.688,-1.688,0,1,0
782617.488097,28884,,1000,-918,404,83,0.312,-0.688,-1.688,0,1,0
782617.488097,28885,,1000,-918,404,83,0.312,-0.688,-1.688,0,1,0
782617.488097,28886,,1000,-918,404,83,0.312,-0.688,-1.688,0,1,0
782617.488097,28887,,1000,-918,404,83,0.312,-0.688,-1.688,0,1,0
782617.488097,28888,,1000,-916,403,83,0.688,-0.438,-1.375,0,1,0
782617.488097,28889,,1000,-916,403,83,0.688,-0.438,-1.375,0,1,0
782617.500665,28890,,1000,-916,403,83,0.688,-0.438,-1.375,0,1,0
782617.500665,28891,,1000,-916,403,83,0.688,-0.438,-1.375,0,1,0
782617.500665,28892,,1000,-915,403,82,0.562,-0.438,-1.125,0,1,0
782617.500665,28893,,1000,-915,403,82,0.562,-0.438,-1.125,0,1,0
782617.500665,28894,,1000,-915,403,82,0.562,-0.438,-1.125,0,1,0
782617.500665,28895,,1000,-915,403,82,0.562,-0.438,-1.125,0,1,0
782617.500665,28896,,1000,-915,403,82,0.562,-0.438,-1.125,0,1,0
782617.500665,28897,,1000,-920,402,82,0.375,-0.562,-1.438,0,1,0
782617.500665,28898,,1000,-920,402,82,0.375,-0.562,-1.438,0,1,0
782617.500665,28899,,1000,-920,402,82,0.375,-0.562,-1.438,0,1,0
782617.514287,28900,,1000,-920,402,82,0.375,-0.562,-1.438,0,1,0
782617.514287,28901,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.514287,28902,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.514287,28903,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.514287,28904,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.514287,28905,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.514287,28906,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.514287,28907,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.514287,28908,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.514287,28909,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.519673,28910,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.519673,28911,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.519673,28912,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.519673,28913,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.519673,28914,,1000,-916,405,81,0.500,-0.688,-0.938,0,1,0
782617.519673,28915,,1000,-919,406,81,0.438,-0.625,-1.375,0,1,0
782617.519673,28916,,1000,-919,406,81,0.438,-0.625,-1.375,0,1,0
782617.519673,28917,,1000,-919,406,81,0.438,-0.625,-1.375,0,1,0
782617.519673,28918,,1000,-919,406,81,0.438,-0.625,-1.375,0,1,0
782617.519673,28919,,1000,-919,406,81,0.438,-0.625,-1.375,0,1,0
782617.528295,28920,,1000,-916,402,82,0.688,-0.188,-1.938,0,1,0
782617.528295,28921,,1000,-916,402,82,0.688,-0.188,-1.938,0,1,0
782617.528295,28922,,1000,-916,402,82,0.688,-0.188,-1.938,0,1,0
782617.528295,28923,,1000,-916,402,82,0.688,-0.188,-1.938,0,1,0
782617.528295,28924,,1000,-917,401,80,0.375,-0.562,-1.625,0,1,0
782617.528295,28925,,1000,-917,401,80,0.375,-0.562,-1.625,0,1,0
782617.528295,28926,,1000,-917,401,80,0.375,-0.562,-1.625,0,1,0
782617.528295,28927,,1000,-917,401,80,0.375,-0.562,-1.625,0,1,0
782617.528295,28928,,1000,-917,401,80,0.375,-0.562,-1.625,0,1,0
782617.528295,28929,,1000,-918,403,81,1.062,0.500,-3.250,0,1,0
782617.541847,28930,,1000,-918,403,81,1.062,0.500,-3.250,0,1,0
782617.541847,28931,,1000,-918,403,81,1.062,0.500,-3.250,0,1,0
782617.541847,28932,,1000,-918,403,81,1.062,0.500,-3.250,0,1,0
782617.541847,28933,,1000,-917,406,83,0.375,-0.500,1.625,0,1,0
782617.541847,28934,,1000,-917,406,83,0.375,-0.500,1.625,0,1,0
782617.541847,28935,,1000,-917,406,83,0.375,-0.500,1.625,0,1,0
782617.541847,28936,,1000,-917,406,83,0.375,-0.500,1.625,0,1,0
782617.541847,28937,,1000,-917,406,83,0.375,-0.500,1.625,0,1,0
782617.541847,28938,,1000,-919,402,81,0.750,-0.188,-3.875,0,1,0
782617.541847,28939,,1000,-919,402,81,0.750,-0.188,-3.875,0,1,0
782617.547177,28940,,1000,-919,402,81,0.750,-0.188,-3.875,0,1,0
782617.547177,28941,,1000,-919,402,81,0.750,-0.188,-3.875,0,1,0
782617.547177,28942,,1000,-919,407,81,0.625,-0.312,-1.125,0,1,0
782617.547177,28943,,1000,-919,407,81,0.625,-0.312,-1.125,0,1,0
782617.547177,28944,,1000,-919,407,81,0.625,-0.312,-1.125,0,1,0
782617.547177,28945,,1000,-919,407,81,0.625,-0.312,-1.125,0,1,0
782617.547177,28946,,1000,-919,407,81,0.625,-0.312,-1.125,0,1,0
782617.547177,28947,,1000,-918,402,82,0.250,-0.625,-0.812,0,1,0
782617.547177,28948,,1000,-918,402,82,0.250,-0.625,-0.812,0,1,0
782617.547177,28949,,1000,-918,402,82,0.250,-0.625,-0.812,0,1,0
782617.555630,28950,,1000,-918,402,82,0.250,-0.625,-0.812,0,1,0
782617.555630,28951,,1000,-918,403,82,0.375,-0.562,-2.250,0,1,0
782617.555630,28952,,1000,-918,403,82,0.375,-0.562,-2.250,0,1,0
782617.555630,28953,,1000,-918,403,82,0.375,-0.562,-2.250,0,1,0
782617.555630,28954,,1000,-918,403,82,0.375,-0.562,-2.250,0,1,0
782617.555630,28955,,1000,-918,403,82,0.375,-0.562,-2.250,0,1,0
782617.555630,28956,,1000,-916,405,80,0.750,-0.750,-0.875,0,1,0
782617.555630,28957,,1000,-916,405,80,0.750,-0.750,-0.875,0,1,0
782617.555630,28958,,1000,-916,405,80,0.750,-0.750,-0.875,0,1,0
782617.555630,28959,,1000,-916,405,80,0.750,-0.750,-0.875,0,1,0
782617.583158,28960,,1000,-917,406,80,0.000,-0.938,-1.562,0,1,0
782617.583158,28961,,1000,-917,406,80,0.000,-0.938,-1.562,0,1,0
782617.583158,28962,,1000,-917,406,80,0.000,-0.938,-1.562,0,1,0
782617.583158,28963,,1000,-917,406,80,0.000,-0.938,-1.562,0,1,0
782617.583158,28964,,1000,-917,406,80,0.000,-0.938,-1.562,0,1,0
782617.583158,28965,,1000,-917,406,81,0.688,-0.500,-3.062,0,1,0
782617.583158,28966,,1000,-917,406,81,0.688,-0.500,-3.062,0,1,0
782617.583158,28967,,1000,-917,406,81,0.688,-0.500,-3.062,0,1,0
782617.583158,28968,,1000,-917,406,81,0.688,-0.500,-3.062,0,1,0
782617.583158,28969,,1000,-917,401,82,0.312,-0.688,-1.250,0,1,0
782617.588451,28970,,1000,-917,401,82,0.312,-0.688,-1.250,0,1,0
782617.588451,28971,,1000,-917,401,82,0.312,-0.688,-1.250,0,1,0
782617.588451,28972,,1000,-917,401,82,0.312,-0.688,-1.250,0,1,0
782617.588451,28973,,1000,-918,403,80,0.000,-1.188,-1.438,0,1,0
782617.588451,28974,,1000,-918,403,80,0.000,-1.188,-1.438,0,1,0
782617.588451,28975,,1000,-918,403,80,0.000,-1.188,-1.438,0,1,0
782617.588451,28976,,1000,-918,403,80,0.000,-1.188,-1.438,0,1,0
782617.588451,28977,,1000,-918,403,80,0.000,-1.188,-1.438,0,1,0
782617.588451,28978,,1000,-917,405,81,0.562,-0.875,-0.562,0,1,0
782617.588451,28979,,1000,-917,405,81,0.562,-0.875,-0.562,0,1,0
782617.596790,28980,,1000,-917,405,81,0.562,-0.875,-0.562,0,1,0
782617.596790,28981,,1000,-917,405,81,0.562,-0.875,-0.562,0,1,0
782617.596790,28982,,1000,-918,405,80,0.562,-0.188,-1.625,0,1,0
782617.596790,28983,,1000,-918,405,80,0.562,-0.188,-1.625,0,1,0
782617.596790,28984,,1000,-918,405,80,0.562,-0.188,-1.625,0,1,0
782617.596790,28985,,1000,-918,405,80,0.562,-0.188,-1.625,0,1,0
782617.596790,28986,,1000,-918,405,80,0.562,-0.188,-1.625,0,1,0
782617.596790,28987,,1000,-918,405,80,0.562,-0.188,-1.625,0,1,0
782617.596790,28988,,1000,-918,405,80,0.562,-0.188,-1.625,0,1,0
782617.596790,28989,,1000,-918,405,80,0.562,-0.188,-1.625,0,1,0
782617.602153,28990,,1000,-918,405,80,0.562,-0.188,-1.625,0,1,0
782617.602153,28991,,1000,-918,405,80,0.562,-0.188,-1.625,0,1,0
782617.602153,28992,,1000,-918,406,82,0.125,-0.812,-0.688,0,1,0
782617.602153,28993,,1000,-918,406,82,0.125,-0.812,-0.688,0,1,0
