host_time_s,sequence,uptime_us,dt_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,flags,checksum_ok,lost_total
784211.764997,43800,,900,-899,453,63,0.250,-0.812,3.375,0,1,0
784211.764997,43801,,900,-897,452,60,-0.188,0.875,-2.625,0,1,0
784211.764997,43802,,900,-899,455,63,1.188,0.750,-7.125,0,1,0
784211.764997,43803,,900,-901,451,60,1.375,-0.812,4.125,0,1,0
784211.764997,43804,,900,-896,454,62,-0.625,-3.500,-1.938,0,1,0
784211.764997,43805,,900,-899,448,57,1.312,0.938,-3.875,0,1,0
784211.764997,43806,,900,-901,452,61,0.000,2.125,-0.812,0,1,0
784211.764997,43807,,900,-902,449,58,-0.625,-2.938,6.062,0,1,0
784211.764997,43808,,900,-902,454,63,1.000,-2.562,-11.438,0,1,0
784211.764997,43809,,900,-898,453,64,1.125,0.375,1.500,0,1,0
784211.773295,43810,,900,-902,446,65,-0.125,0.375,11.062,0,1,0
784211.773295,43811,,900,-904,451,60,0.812,0.750,-20.250,0,1,0
784211.773295,43812,,900,-898,448,62,0.500,-3.062,9.125,0,1,0
784211.773295,43813,,900,-901,454,63,0.375,-0.062,-2.938,0,1,0
784211.773295,43814,,900,-898,454,63,0.562,-0.375,1.000,0,1,0
784211.773295,43815,,900,-902,454,63,0.625,1.438,-12.812,0,1,0
784211.773295,43816,,900,-897,450,61,0.250,-2.188,10.375,0,1,0
784211.773295,43817,,900,-899,447,60,1.312,-1.625,-4.250,0,1,0
784211.773295,43818,,900,-900,451,63,0.875,1.312,-8.188,0,1,0
784211.773295,43819,,900,-902,449,63,-0.250,0.438,5.438,0,1,0
784211.778582,43820,,900,-896,456,64,0.562,-2.875,2.562,0,1,0
784211.778582,43821,,900,-903,447,64,1.562,-0.750,-10.250,0,1,0
784211.778582,43822,,900,-901,457,61,-1.875,0.375,3.812,0,1,0
784211.778582,43823,,900,-901,450,61,1.562,0.438,4.188,0,1,0
784211.778582,43824,,900,-901,445,63,2.438,-0.938,-6.000,0,1,0
784211.778582,43825,,900,-895,453,62,-0.875,-0.938,-5.875,0,1,0
784211.778582,43826,,900,-898,449,62,0.375,-0.062,4.750,0,1,0
784211.778582,43827,,900,-900,452,64,3.125,1.438,-2.500,0,1,0
784211.778582,43828,,900,-900,444,57,-0.875,-1.250,-6.062,0,1,0
784211.778582,43829,,900,-903,450,57,-0.250,-2.438,1.500,0,1,0
784211.787898,43830,,900,-900,449,64,2.750,1.312,0.438,0,1,0
784211.787898,43831,,900,-897,446,61,-1.562,-0.250,-5.750,0,1,0
784211.787898,43832,,900,-895,451,66,-0.625,-2.438,0.312,0,1,0
784211.787898,43833,,900,-896,446,63,2.500,-0.875,3.125,0,1,0
784211.787898,43834,,900,-903,444,62,-0.250,0.312,-7.500,0,1,0
784211.787898,43835,,900,-899,450,63,0.125,0.500,-2.438,0,1,0
784211.787898,43836,,900,-902,449,60,0.875,-1.562,5.625,0,1,0
784211.787898,43837,,900,-897,449,62,0.062,-1.375,-6.250,0,1,0
784211.787898,43838,,900,-899,442,61,-0.312,-0.875,-1.750,0,1,0
784211.787898,43839,,900,-903,448,63,0.062,0.375,3.062,0,1,0
784211.793011,43840,,900,-902,445,63,1.125,0.688,-1.375,0,1,0
784211.793011,43841,,900,-895,447,69,0.375,-2.188,-5.000,0,1,0
784211.793011,43842,,900,-897,446,67,1.688,-0.875,0.562,0,1,0
784211.793011,43843,,900,-898,450,59,0.750,2.062,-0.625,0,1,0
784211.793011,43844,,900,-899,446,61,-1.375,-1.312,-2.625,0,1,0
784211.793011,43845,,900,-895,449,61,0.562,-3.188,0.188,0,1,0
784211.793011,43846,,900,-902,453,61,-0.750,-3.125,0.062,0,1,0
784211.793011,43847,,900,-901,450,62,1.062,2.312,-3.875,0,1,0
784211.793011,43848,,900,-896,451,63,0.125,0.438,1.188,0,1,0
784211.793011,43849,,900,-896,452,60,0.312,-3.000,-1.438,0,1,0
784211.801409,43850,,900,-904,454,63,2.562,-0.438,-0.125,0,1,0
784211.801409,43851,,900,-904,446,65,0.188,2.562,-6.812,0,1,0
784211.801409,43852,,900,-896,449,59,0.375,-0.375,-0.125,0,1,0
784211.801409,43853,,900,-899,453,62,3.000,0.125,-1.375,0,1,0
784211.801409,43854,,900,-894,444,63,-0.875,-1.312,-1.875,0,1,0
784211.801409,43855,,900,-899,446,63,-0.562,0.500,-3.000,0,1,0
784211.801409,43856,,900,-901,448,59,0.750,-0.875,2.438,0,1,0
784211.801409,43857,,900,-898,451,64,1.312,-1.938,-4.000,0,1,0
784211.801409,43858,,900,-901,446,62,0.250,0.125,-4.375,0,1,0
